sample	include
18048FL-06-01-48_S48_L001	False
18048Fl-06-03-73_S265_L003	True
18048Fl-06-03-87_S279_L003	True
18048FL-06-01-05_S5_L001	True
18048Fl-06-03-32_S224_L003	True
18048FL-06-02-77_S173_L002	True
18048Fl-06-03-71_S263_L003	True
18048Fl-06-03-83_S275_L003	True
18048FL-06-02-42_S138_L002	False
18048FL-06-01-14_S14_L001	True
18048FL-06-01-23_S23_L001	False
18048FL-06-01-62_S62_L001	False
18048Fl-06-03-27_S219_L003	True
18048Fl-06-03-34_S226_L003	True
18048FL-06-02-30_S126_L002	True
18048Fl-06-03-86_S278_L003	True
18048Fl-06-03-94_S286_L003	True
18048FL-06-02-58_S154_L002	True
18048FL-06-01-27_S27_L001	False
18048FL-06-01-65_S65_L001	True
18048FL-06-01-79_S79_L001	True
18048Fl-06-03-47_S239_L003	False
18048FL-06-02-95_S191_L002	True
18048FL-06-01-38_S38_L001	True
18048FL-06-02-88_S184_L002	True
18048FL-06-02-12_S108_L002	False
18048FL-06-01-17_S17_L001	True
18048FL-06-02-66_S162_L002	True
18048FL-06-02-91_S187_L002	True
18048Fl-06-03-81_S273_L003	True
18048FL-06-02-96_S192_L002	True
18048FL-06-02-48_S144_L002	True
18048FL-06-02-61_S157_L002	True
18048FL-06-02-76_S172_L002	True
18048FL-06-01-43_S43_L001	True
18048FL-06-01-57_S57_L001	True
18048FL-06-02-69_S165_L002	True
18048Fl-06-03-06_S198_L003	True
18048Fl-06-03-33_S225_L003	True
18048Fl-06-03-08_S200_L003	True
18048FL-06-02-15_S111_L002	True
18048FL-06-01-84_S84_L001	True
18048Fl-06-03-64_S256_L003	True
18048FL-06-01-77_S77_L001	True
18048Fl-06-03-07_S199_L003	True
18048Fl-06-03-66_S258_L003	False
18048FL-06-01-16_S16_L001	True
18048Fl-06-03-55_S247_L003	True
18048FL-06-01-94_S94_L001	True
18048Fl-06-03-16_S208_L003	True
18048FL-06-02-28_S124_L002	True
18048FL-06-02-67_S163_L002	True
18048Fl-06-03-25_S217_L003	True
18048FL-06-02-20_S116_L002	True
18048FL-06-02-79_S175_L002	True
18048Fl-06-03-19_S211_L003	True
18048FL-06-01-70_S70_L001	True
18048Fl-06-03-46_S238_L003	True
18048FL-06-01-22_S22_L001	True
18048Fl-06-03-21_S213_L003	True
18048Fl-06-03-26_S218_L003	True
18048FL-06-02-60_S156_L002	True
18048Fl-06-03-35_S227_L003	True
18048FL-06-01-92_S92_L001	True
18048Fl-06-03-79_S271_L003	True
18048FL-06-01-55_S55_L001	False
18048FL-06-01-32_S32_L001	True
18048Fl-06-03-90_S282_L003	True
18048FL-06-01-93_S93_L001	True
18048FL-06-02-83_S179_L002	True
18048Fl-06-03-95_S287_L003	True
18048FL-06-01-78_S78_L001	True
18048Fl-06-03-59_S251_L003	True
18048Fl-06-03-65_S257_L003	True
18048FL-06-01-54_S54_L001	True
18048FL-06-02-62_S158_L002	True
18048FL-06-01-46_S46_L001	True
18048FL-06-01-80_S80_L001	True
18048Fl-06-03-38_S230_L003	False
18048FL-06-02-89_S185_L002	True
18048FL-06-02-84_S180_L002	True
18048FL-06-01-83_S83_L001	True
18048FL-06-02-55_S151_L002	True
18048FL-06-01-10_S10_L001	True
18048FL-06-02-07_S103_L002	True
18048FL-06-01-49_S49_L001	True
18048Fl-06-03-88_S280_L003	True
18048FL-06-01-81_S81_L001	True
18048FL-06-01-95_S95_L001	True
18048Fl-06-03-20_S212_L003	False
18048FL-06-01-73_S73_L001	True
18048Fl-06-03-89_S281_L003	True
18048FL-06-02-25_S121_L002	True
